名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
零度酒吧(公明店),体育休闲服务,娱乐场所,酒吧,公明街道宏发上域10栋A23,广东省,深圳市,宝安区,113.9010731,22.78567913
泰迪吧,体育休闲服务,娱乐场所,酒吧,公明街道宏发上域10栋A23,广东省,深圳市,宝安区,113.9012031,22.78607198
根据地Bar,体育休闲服务,娱乐场所,酒吧,别墅路8-55号附近,广东省,深圳市,宝安区,113.9020077,22.78358365
唯乐清吧,体育休闲服务,娱乐场所,酒吧,公明街道民生路宏发上域花园3号楼B33、B35号商铺,广东省,深圳市,宝安区,113.9006099,22.78396279
V-LOVE休闲清吧,体育休闲服务,娱乐场所,酒吧,光明新区公明街道民生路宏发上域花园3号楼B33号商铺,广东省,深圳市,宝安区,113.90065,22.78396678
Ted bar(泰迪吧),体育休闲服务,娱乐场所,迪厅,公明街道宏发上域花园10号楼A23-A25商铺,广东省,深圳市,宝安区,113.9011121,22.78563814
宜居台球棋牌俱乐部,体育休闲服务,娱乐场所,娱乐场所,民生大道北50米,广东省,深圳市,宝安区,113.8974518,22.78724497
宝行国际俱乐部,体育休闲服务,娱乐场所,娱乐场所,公明办事处公明街道华发北路40号,广东省,深圳市,宝安区,113.9042733,22.78907518
美图酒吧(凯雷斯顿店),体育休闲服务,娱乐场所,酒吧,华发北路与公明北环大道交汇处凯雷斯顿酒店,广东省,深圳市,宝安区,113.9056297,22.78955054
欢乐时光KTV,体育休闲服务,娱乐场所,KTV,光明新区公明楼村路口新嘉虹商场,广东省,深圳市,宝安区,113.914495,22.78081429
V-Bar时尚酒吧,体育休闲服务,娱乐场所,酒吧,新村十五巷与楼新一路交叉口东北100米,广东省,深圳市,宝安区,113.9265884,22.78877786
今夜酒吧(盐龙大道),体育休闲服务,娱乐场所,酒吧,坪地街道中心社区金城路1号2栋101,广东省,深圳市,龙岗区,114.2933575,22.7807399
今夜月光,体育休闲服务,娱乐场所,KTV,坪地百石塘发展路96号(白石塘商务大厦),广东省,深圳市,龙岗区,114.2951304,22.78230456
月亮湾量贩式KTV(沙江路),体育休闲服务,娱乐场所,KTV,松岗街道沙江路139号,广东省,深圳市,宝安区,113.8312521,22.77696327
金海娱乐会所,体育休闲服务,娱乐场所,KTV|体育休闲服务,松岗镇沙江路113号,广东省,深圳市,宝安区,113.8325586,22.77708366
x派酒吧,体育休闲服务,娱乐场所,酒吧,溪头村沙江路113号,广东省,深圳市,宝安区,113.8321415,22.77688395
X派对,体育休闲服务,娱乐场所,酒吧,沙江路113号万豪城市酒店1层,广东省,深圳市,宝安区,113.8323881,22.77681044
高调纯K氧吧自助式KTV(松岗店),体育休闲服务,娱乐场所,KTV,松河北路117号2-3层,广东省,深圳市,宝安区,113.8327644,22.77219864
新动感(沙江路店),体育休闲服务,娱乐场所,KTV,沙江路113号天源隆购物广场3层,广东省,深圳市,宝安区,113.83013,22.777495
星光大道量贩式KTV(松岗店),体育休闲服务,娱乐场所,KTV,松岗街道花果山社区勋业街2号2街(松岗地税所公交站旁),广东省,深圳市,宝安区,113.8363347,22.77513725
