名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
深圳市剑友剑道俱乐部明剑馆,体育休闲服务,体育休闲服务场所,体育休闲服务场所,保税区红棉道1号智立方创新园3楼,广东省,深圳市,福田区,114.0538894,22.50460296
X-Rock运动中心,体育休闲服务,运动场馆,运动场所,市花路9号泰福仓储大厦102座,广东省,深圳市,福田区,114.047658,22.50863137
方块动漫,体育休闲服务,体育休闲服务场所,体育休闲服务场所,保税区市花路福年广场B5338,广东省,深圳市,福田区,114.0528183,22.50935974
大堂E栈,体育休闲服务,体育休闲服务场所,体育休闲服务场所,保税区市花路福年广场B2栋大堂,广东省,深圳市,福田区,114.0526176,22.50962709
雷神格斗俱乐部,体育休闲服务,体育休闲服务场所,体育休闲服务场所,前海路101丽湾大厦14楼,广东省,深圳市,南山区,113.8864267,22.49909767
云颂阁,体育休闲服务,体育休闲服务场所,体育休闲服务场所,港前路德尚世家4栋,广东省,深圳市,南山区,113.8897724,22.49946994
万胜巴西柔术,体育休闲服务,运动场馆,健身中心,前海路与月亮湾大道交叉口东200米,广东省,深圳市,南山区,113.8879145,22.4978973
雄远高尔夫体验馆,体育休闲服务,运动场馆,运动场所,前海路0101号丽湾商务公寓A座127-201,广东省,深圳市,南山区,113.886587,22.49878774
安谛瑜伽静心中心,体育休闲服务,运动场馆,健身中心,泛海城市广场1栋A座1304室(前海兴海路口丽湾大厦正对面),广东省,深圳市,南山区,113.8886472,22.49948456
领域(前海店),体育休闲服务,运动场馆,健身中心,前海路101号丽湾大厦2层,广东省,深圳市,南山区,113.88666,22.49876177
万胜跆拳道馆,体育休闲服务,运动场馆,跆拳道场馆,月亮湾前海兴海路泛海拉菲二期拉菲培训中心二楼,广东省,深圳市,南山区,113.8882279,22.49818842
爱心健身广场,体育休闲服务,运动场馆,健身中心,兴海大道与沿山路交叉口西南200米,广东省,深圳市,南山区,113.8866383,22.49372777
梵妃瑜伽(兰溪谷店),体育休闲服务,运动场馆,健身中心,兰溪谷一期16栋14B,广东省,深圳市,南山区,113.9057405,22.4924014
英豪棒球俱乐部,体育休闲服务,体育休闲服务场所,体育休闲服务场所,南海大道1055号TCL科技大厦b座f区1楼,广东省,深圳市,南山区,113.9123941,22.49631682
八爪网络,体育休闲服务,体育休闲服务场所,体育休闲服务场所,南海大道万海大厦c座9楼,广东省,深圳市,南山区,113.9120322,22.49588607
灿和新网络,体育休闲服务,体育休闲服务场所,体育休闲服务场所,蛇口网谷万海大厦B栋802-R2,广东省,深圳市,南山区,113.9122042,22.49554795
瑞尔健身,体育休闲服务,体育休闲服务场所,体育休闲服务场所,工业五路万海大厦B座503,广东省,深圳市,南山区,113.9122042,22.49554795
昕孕瑜伽馆,体育休闲服务,运动场馆,健身中心,南海大道1031号蛇口网谷万海大厦C座101室,广东省,深圳市,南山区,113.9121412,22.4959
小海豚游泳馆(鸣溪谷),体育休闲服务,运动场馆,运动场所,工业六路12号鸣溪谷3A栋,广东省,深圳市,南山区,113.9144189,22.49820233
天下布舞·舞道馆,体育休闲服务,运动场馆,健身中心,南海大道1055号TCL工业园A栋B区二楼,广东省,深圳市,南山区,113.9128361,22.49622051
红糖罐(蛇口圈创101店),体育休闲服务,体育休闲服务场所,体育休闲服务场所,蛇口工业六路9号,广东省,深圳市,南山区,113.9127121,22.4972246
BEST百盛达射箭俱乐部,体育休闲服务,运动场馆,运动场所,"沿山路23号胜发大厦A栋4楼(兰溪谷,公交站南水工业区站)",广东省,深圳市,南山区,113.908577,22.49500312
